Id,site,date,pixels,meanNDVI,stdevNDVI
4,BOOLCON1,20230317,95380179,0.12,0.05
6,BOOLCON3,20230317,96294050,0.12,0.07
1,BOOLEX1,20230316,93857762,0.12,0.05
2,BOOLEX2,20230317,100383304,0.12,0.06
3,BOOLEX3,20230316,34247763,0.12,0.07
5,BOOLCON2,20230316,91162128,0.13,0.05
4,BOOLCON1,20240308,94958867,0.08,0.05
5,BOOLCON2,20240309,92777572,0.09,0.06
6,BOOLCON3,20240308,95300966,0.11,0.09
2,BOOLEX2,20240309,98156935,0.11,0.09
3,BOOLEX3,20240308,34230977,0.10,0.07
1,BOOLEX1,20240308,94224665,0.09,0.07
