Id,site,date,pixels,meanNDVI,stdevNDVI,meanBare,stdevBare,meanGreen,stdevGreen,meanDead,stdevDead
1,BOOLEX1,202203202205,176,0.08,0.02,62.99,4.29,11.68,2.14,23.69,3.95
2,BOOLEX2,202203202205,185,0.11,0.02,62.56,4.60,10.65,2.80,25.14,3.14
3,BOOLEX3,202203202205,64,0.08,0.02,60.31,4.77,12.33,1.69,25.70,5.18
4,BOOLCON1,202203202205,177,0.07,0.02,62.06,3.53,13.16,2.42,23.22,2.37
5,BOOLCON2,202203202205,173,0.14,0.03,60.49,4.20,9.89,2.29,28.03,3.74
6,BOOLCON3,202203202205,177,0.11,0.01,65.97,2.74,8.89,1.75,23.57,2.36
1,BOOLEX1,202206202208,176,-0.02,0.03,48.64,5.05,22.13,2.00,27.41,3.92
2,BOOLEX2,202206202208,185,0.02,0.03,49.32,5.11,19.30,3.11,29.74,3.05
3,BOOLEX3,202206202208,64,-0.02,0.03,44.23,6.59,22.16,2.49,31.89,5.02
4,BOOLCON1,202206202208,177,-0.04,0.02,47.25,3.18,22.80,1.71,28.12,2.72
5,BOOLCON2,202206202208,173,0.03,0.05,46.57,6.91,20.52,4.25,31.18,4.00
6,BOOLCON3,202206202208,177,0.02,0.02,49.33,3.89,19.36,2.45,29.63,2.89
1,BOOLEX1,202209202211,176,-0.01,0.02,55.73,3.34,20.05,2.48,22.56,2.88
2,BOOLEX2,202209202211,185,-0.00,0.02,55.15,4.36,21.72,2.76,21.57,3.16
3,BOOLEX3,202209202211,64,0.01,0.03,53.97,4.08,20.09,2.01,24.27,3.83
4,BOOLCON1,202209202211,177,-0.03,0.02,53.14,2.58,21.74,2.71,23.36,2.09
5,BOOLCON2,202209202211,173,0.05,0.05,52.55,4.58,18.53,3.18,27.21,3.54
6,BOOLCON3,202209202211,177,0.01,0.02,56.85,2.36,17.94,2.84,23.73,2.28
1,BOOLEX1,202212202302,176,0.07,0.01,57.71,3.47,12.61,1.04,27.99,3.32
2,BOOLEX2,202212202302,185,0.06,0.01,57.92,4.34,12.39,1.20,28.09,3.65
3,BOOLEX3,202212202302,64,0.05,0.01,56.70,3.79,13.09,1.37,28.72,4.30
4,BOOLCON1,202212202302,177,0.05,0.01,56.71,1.99,12.71,0.93,28.88,1.88
5,BOOLCON2,202212202302,173,0.11,0.03,54.58,4.62,12.21,1.23,31.65,4.04
6,BOOLCON3,202212202302,177,0.07,0.02,58.92,2.46,12.40,1.24,27.08,2.10
