date,gcc,p05GCC,p95GCC
2022-05-17,0.4669,0.3745,0.5680
2022-05-18,0.4769,0.3930,0.5716
2022-05-19,0.4867,0.4100,0.5748
2022-05-20,0.4963,0.4271,0.5778
2022-05-21,0.5057,0.4450,0.5805
2022-05-22,0.5147,0.4587,0.5884
2022-05-23,0.5235,0.4711,0.5927
2022-05-24,0.5321,0.4813,0.6006
2022-05-25,0.5403,0.4916,0.6056
2022-05-26,0.5483,0.5024,0.6076
2022-05-27,0.5561,0.5090,0.6096
2022-05-28,0.5636,0.5118,0.6171
2022-05-29,0.5709,0.5145,0.6316
2022-05-30,0.5781,0.5210,0.6396
2022-05-31,0.5851,0.5245,0.6478
2022-06-01,0.5920,0.5281,0.6580
2022-06-02,0.5984,0.5319,0.6689
2022-06-03,0.5990,0.5360,0.6705
2022-06-04,0.5986,0.5404,0.6709
2022-06-05,0.5974,0.5420,0.6695
2022-06-06,0.5950,0.5417,0.6639
2022-06-07,0.5913,0.5385,0.6602
2022-06-08,0.5861,0.5325,0.6558
2022-06-09,0.5793,0.5275,0.6453
2022-06-10,0.5710,0.5210,0.6340
2022-06-11,0.5611,0.5136,0.6232
2022-06-12,0.5500,0.5045,0.6098
2022-06-13,0.5380,0.4942,0.5959
2022-06-14,0.5255,0.4837,0.5817
2022-06-15,0.5129,0.4706,0.5627
2022-06-16,0.5006,0.4609,0.5477
2022-06-17,0.4886,0.4494,0.5331
2022-06-18,0.4771,0.4381,0.5188
2022-06-19,0.4658,0.4281,0.5057
2022-06-20,0.4545,0.4189,0.4918
2022-06-21,0.4431,0.4057,0.4788
2022-06-22,0.4317,0.3973,0.4673
2022-06-23,0.4204,0.3858,0.4533
2022-06-24,0.4095,0.3760,0.4413
2022-06-25,0.3990,0.3677,0.4328
2022-06-26,0.3893,0.3590,0.4223
2022-06-27,0.3803,0.3485,0.4140
2022-06-28,0.3720,0.3419,0.4057
2022-06-29,0.3645,0.3365,0.3947
2022-06-30,0.3576,0.3322,0.3881
2022-07-01,0.3515,0.3283,0.3785
2022-07-02,0.3457,0.3229,0.3713
2022-07-03,0.3400,0.3187,0.3634
2022-07-04,0.3343,0.3126,0.3567
2022-07-05,0.3283,0.3074,0.3505
2022-07-06,0.3219,0.3019,0.3435
2022-07-07,0.3154,0.2963,0.3363
2022-07-08,0.3089,0.2901,0.3296
2022-07-09,0.3025,0.2855,0.3233
2022-07-10,0.2963,0.2800,0.3167
2022-07-11,0.2904,0.2739,0.3099
2022-07-12,0.2847,0.2686,0.3034
2022-07-13,0.2793,0.2640,0.2965
2022-07-14,0.2741,0.2594,0.2902
2022-07-15,0.2692,0.2547,0.2853
2022-07-16,0.2644,0.2486,0.2804
2022-07-17,0.2599,0.2436,0.2766
2022-07-18,0.2558,0.2387,0.2729
2022-07-19,0.2522,0.2374,0.2700
2022-07-20,0.2495,0.2341,0.2663
2022-07-21,0.2476,0.2305,0.2648
2022-07-22,0.2442,0.2299,0.2635
2022-07-23,0.2448,0.2311,0.2627
2022-07-24,0.2461,0.2309,0.2629
2022-07-25,0.2475,0.2328,0.2639
2022-07-26,0.2489,0.2340,0.2659
2022-07-27,0.2505,0.2366,0.2675
2022-07-28,0.2512,0.2377,0.2679
2022-07-29,0.2516,0.2380,0.2684
2022-07-30,0.2520,0.2368,0.2691
2022-07-31,0.2529,0.2360,0.2706
2022-08-01,0.2551,0.2378,0.2742
2022-08-02,0.2578,0.2382,0.2788
2022-08-03,0.2605,0.2388,0.2824
2022-08-04,0.2627,0.2392,0.2853
2022-08-05,0.2639,0.2382,0.2865
2022-08-06,0.2641,0.2382,0.2873
2022-08-07,0.2628,0.2368,0.2877
2022-08-08,0.2612,0.2357,0.2870
2022-08-09,0.2596,0.2316,0.2857
2022-08-10,0.2583,0.2311,0.2856
2022-08-11,0.2578,0.2288,0.2865
2022-08-12,0.2573,0.2263,0.2848
2022-08-13,0.2565,0.2254,0.2830
2022-08-14,0.2552,0.2229,0.2827
2022-08-15,0.2532,0.2217,0.2812
2022-08-16,0.2502,0.2190,0.2789
2022-08-17,0.2461,0.2142,0.2745
2022-08-18,0.2409,0.2095,0.2701
2022-08-19,0.2346,0.2000,0.2676
2022-08-20,0.2274,0.1898,0.2604
2022-08-21,0.2195,0.1821,0.2546
2022-08-22,0.2112,0.1735,0.2479
2022-08-23,0.2028,0.1643,0.2399
2022-08-24,0.1943,0.1573,0.2292
2022-08-25,0.1857,0.1496,0.2207
2022-08-26,0.1768,0.1399,0.2168
2022-08-27,0.1679,0.1292,0.2070
2022-08-28,0.1590,0.1235,0.1965
2022-08-29,0.1504,0.1136,0.1853
2022-08-30,0.1426,0.1066,0.1847
2022-08-31,0.1360,0.0986,0.1783
2022-09-01,0.1313,0.0934,0.1707
2022-09-02,0.1289,0.0923,0.1707
2022-09-03,0.1287,0.0901,0.1690
2022-09-04,0.1303,0.0954,0.1748
2022-09-05,0.1333,0.0909,0.1769
2022-09-06,0.1373,0.0966,0.1804
2022-09-07,0.1422,0.1058,0.1865
2022-09-08,0.1477,0.1143,0.1929
2022-09-09,0.1541,0.1216,0.1985
2022-09-10,0.1611,0.1307,0.2043
2022-09-11,0.1688,0.1402,0.2072
2022-09-12,0.1765,0.1497,0.2135
2022-09-13,0.1838,0.1597,0.2185
2022-09-14,0.1903,0.1674,0.2218
2022-09-15,0.1956,0.1733,0.2265
2022-09-16,0.2000,0.1796,0.2291
2022-09-17,0.2036,0.1826,0.2309
2022-09-18,0.2069,0.1838,0.2323
2022-09-19,0.2099,0.1861,0.2363
2022-09-20,0.2124,0.1881,0.2404
2022-09-21,0.2145,0.1881,0.2401
2022-09-22,0.2159,0.1897,0.2445
2022-09-23,0.2168,0.1907,0.2436
2022-09-24,0.2176,0.1911,0.2484
2022-09-25,0.2188,0.1933,0.2520
2022-09-26,0.2206,0.1952,0.2524
2022-09-27,0.2232,0.1979,0.2534
2022-09-28,0.2265,0.2021,0.2533
2022-09-29,0.2302,0.2058,0.2569
2022-09-30,0.2341,0.2067,0.2605
2022-10-01,0.2383,0.2098,0.2650
2022-10-02,0.2430,0.2133,0.2716
2022-10-03,0.2488,0.2156,0.2771
2022-10-04,0.2561,0.2226,0.2852
2022-10-05,0.2651,0.2288,0.2969
