Id,image,pixels,meanBare,stdevBare,meanGreen,stdevGreen,meanDead,stdevDead
1,lztmre_nsw_m201203201205_dima2_subset.tif,9,19.33,1.56,32.67,2.36,46.56,2.22
2,lztmre_nsw_m201203201205_dima2_subset.tif,9,13.67,3.06,34.56,3.34,50.67,4.19
3,lztmre_nsw_m201203201205_dima2_subset.tif,999,999,999,999,999,999,999
4,lztmre_nsw_m201203201205_dima2_subset.tif,999,999,999,999,999,999,999
5,lztmre_nsw_m201203201205_dima2_subset.tif,9,21.11,8.18,25.11,4.89,52.67,4.78
6,lztmre_nsw_m201203201205_dima2_subset.tif,9,31.78,2.44,13.56,4.00,53.44,2.75
7,lztmre_nsw_m201203201205_dima2_subset.tif,9,7.56,4.25,35.56,3.62,55.56,4.19
8,lztmre_nsw_m201303201305_dima2_subset.tif,9,45.67,6.36,2.78,2.25,50.33,6.38
9,lztmre_nsw_m201303201305_dima2_subset.tif,9,43.22,2.62,7.67,3.46,47.67,1.76
10,lztmre_nsw_m201609201611_dima2_subset.tif,9,40.44,3.59,15.22,2.04,42.67,2.26
11,lztmre_nsw_m201609201611_dima2_subset.tif,9,23.44,3.34,28.78,8.02,46.11,4.95
12,lztmre_nsw_m201609201611_dima2_subset.tif,9,45.67,1.76,17.11,1.45,35.78,1.40
13,lztmre_nsw_m201609201611_dima2_subset.tif,9,7.22,2.57,56.44,4.14,34.44,2.45
15,lztmre_nsw_m201609201611_dima2_subset.tif,9,35.11,2.69,27.44,4.09,36.11,1.97
16,lztmre_nsw_m201609201611_dima2_subset.tif,9,71.00,6.73,10.22,1.47,17.56,6.06
17,lztmre_nsw_m201609201611_dima2_subset.tif,9,35.44,3.65,27.11,3.14,35.89,2.92
18,lztmre_nsw_m201609201611_dima2_subset.tif,9,68.11,3.66,5.00,0.82,25.44,3.27
19,lztmre_nsw_m201609201611_dima2_subset.tif,9,40.00,4.69,15.67,4.71,43.00,1.56
20,lztmre_nsw_m201609201611_dima2_subset.tif,9,38.22,4.24,25.33,3.83,35.67,1.63
21,lztmre_nsw_m201609201611_dima2_subset.tif,9,32.56,4.57,22.33,4.11,43.56,2.01
23,lztmre_nsw_m201609201611_dima2_subset.tif,9,63.44,3.83,8.22,2.35,26.67,1.89
8,lztmre_nsw_m201609201611_dima2_subset.tif,9,48.22,5.67,11.67,2.67,38.56,4.17
24,lztmre_nsw_m201609201611_dima2_subset.tif,9,30.22,2.66,11.11,1.59,56.89,2.33
25,lztmre_nsw_m201609201611_dima2_subset.tif,9,29.56,2.95,10.89,1.79,58.11,2.38
26,lztmre_nsw_m201609201611_dima2_subset.tif,9,48.11,3.00,15.44,2.63,34.56,2.06
27,lztmre_nsw_m201609201611_dima2_subset.tif,9,36.56,2.27,15.00,1.56,47.11,1.52
28,lztmre_nsw_m201609201611_dima2_subset.tif,9,45.00,2.54,8.44,1.42,45.00,2.67
29,lztmre_nsw_m201609201611_dima2_subset.tif,9,38.22,2.66,11.11,1.10,49.33,1.76
30,lztmre_nsw_m201609201611_dima2_subset.tif,9,38.22,1.47,13.22,1.13,47.33,1.33
2,lztmre_nsw_m202103202105_dima2_subset.tif,9,59.56,4.25,9.89,1.79,28.78,3.58
7,lztmre_nsw_m202103202105_dima2_subset.tif,9,65.00,4.45,6.22,1.03,26.89,3.57
31,lztmre_nsw_m202103202105_dima2_subset.tif,9,48.89,4.09,1.33,1.05,47.78,3.91
32,lztmre_nsw_m202103202105_dima2_subset.tif,9,56.00,1.94,5.67,2.67,36.56,1.71
20,lztmre_nsw_m202103202105_dima2_subset.tif,9,51.33,2.91,8.89,2.23,38.22,3.58
16,lztmre_nsw_m202103202105_dima2_subset.tif,9,72.67,2.49,1.67,0.82,24.44,2.75
26,lztmre_nsw_m202103202105_dima2_subset.tif,9,40.78,3.99,10.44,3.69,47.56,2.31
33,lztmre_nsw_m202103202105_dima2_subset.tif,9,52.44,2.22,1.11,1.20,44.89,1.97
34,lztmre_nsw_m202103202105_dima2_subset.tif,9,59.44,1.83,0.78,0.79,38.44,2.63
14,lztmre_nsw_m202103202105_dima2_subset.tif,9,7.22,8.66,54.33,11.35,37.00,2.79
22,lztmre_nsw_m202103202105_dima2_subset.tif,9,45.44,3.69,3.33,1.15,49.78,2.74
18,lztmre_nsw_m202103202105_dima2_subset.tif,9,68.22,3.76,0.00,0.00,30.89,3.70
35,lztmre_nsw_m202103202105_dima2_subset.tif,9,39.00,5.29,4.44,1.95,55.11,3.90
36,lztmre_nsw_m202103202105_dima2_subset.tif,9,45.00,2.54,0.00,0.00,54.00,2.58
37,lztmre_nsw_m202103202105_dima2_subset.tif,9,51.67,2.45,2.00,0.94,44.78,2.25
38,lztmre_nsw_m202103202105_dima2_subset.tif,9,54.89,3.57,0.22,0.42,43.44,3.92
