Id,image,pixels,meanBare,stdevBare,meanGreen,stdevGreen,meanDead,stdevDead
1,lztmre_nsw_m201203201205_dp1a2_subset.tif,9,19.11,3.57,40.22,3.49,38.89,6.64
2,lztmre_nsw_m201203201205_dp1a2_subset.tif,9,9.67,2.49,42.89,2.73,46.00,4.71
3,lztmre_nsw_m201203201205_dp1a2_subset.tif,999,999,999,999,999,999,999
4,lztmre_nsw_m201203201205_dp1a2_subset.tif,999,999,999,999,999,999,999
5,lztmre_nsw_m201203201205_dp1a2_subset.tif,9,15.89,6.82,27.33,6.00,55.22,4.83
6,lztmre_nsw_m201203201205_dp1a2_subset.tif,9,27.89,2.13,9.44,4.97,61.33,5.37
7,lztmre_nsw_m201203201205_dp1a2_subset.tif,9,8.22,3.39,46.11,2.02,44.33,3.33
8,lztmre_nsw_m201303201305_dp1a2_subset.tif,9,44.44,7.24,0.89,0.57,53.56,7.62
9,lztmre_nsw_m201303201305_dp1a2_subset.tif,9,42.00,2.87,3.89,2.69,52.67,3.06
10,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,36.00,4.14,16.33,3.16,46.00,3.33
11,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,19.56,2.79,33.22,9.91,45.67,8.27
12,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,41.67,0.67,18.78,1.69,37.89,1.85
13,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,4.22,2.10,60.56,5.25,33.78,3.97
15,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,31.67,4.08,32.00,4.03,34.78,1.62
16,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,73.67,8.88,3.78,3.08,21.33,6.25
17,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,25.89,5.07,29.78,2.04,43.22,4.71
18,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,66.67,3.97,2.00,1.25,30.00,2.75
19,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,38.67,4.99,16.44,7.01,42.78,3.49
20,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,33.33,4.69,31.22,3.68,33.67,1.63
21,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,33.67,5.16,26.44,5.87,38.56,2.87
23,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,64.89,4.86,3.67,3.13,29.89,2.88
8,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,44.56,7.40,10.89,3.81,42.89,8.48
24,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,19.44,3.30,4.22,2.90,74.89,3.35
25,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,20.56,3.37,3.00,1.94,74.67,2.67
26,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,47.11,2.81,16.78,3.58,34.00,2.49
27,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,34.00,2.11,13.44,2.59,51.44,2.87
28,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,35.89,1.97,2.22,1.55,60.56,2.83
29,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,33.67,2.54,5.44,1.34,59.56,1.77
30,lztmre_nsw_m201609201611_dp1a2_subset.tif,9,33.11,1.79,10.22,2.35,55.22,3.26
2,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,61.22,8.88,6.56,2.50,30.67,6.36
7,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,73.33,4.42,1.33,0.47,24.00,3.89
31,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,47.78,8.13,0.67,0.94,50.22,7.47
32,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,60.44,4.92,2.89,3.38,35.33,4.06
20,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,48.11,8.49,4.78,2.39,45.78,8.28
16,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,89.89,1.85,0.67,0.47,7.89,2.02
26,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,37.78,4.64,7.00,6.24,53.67,7.87
33,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,63.33,6.09,0.89,0.57,34.56,5.89
34,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,70.89,2.81,0.78,0.42,27.22,2.57
14,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,6.56,4.97,59.89,12.72,32.22,8.71
22,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,46.67,10.39,0.78,0.79,50.78,9.82
18,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,78.78,3.58,0.00,0.00,19.78,3.49
35,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,29.78,4.02,5.33,1.63,63.00,2.79
36,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,45.78,3.99,0.78,0.63,52.00,3.56
37,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,57.44,5.93,1.00,0.47,40.11,5.61
38,lztmre_nsw_m202103202105_dp1a2_subset.tif,9,69.44,3.17,0.22,0.42,28.56,3.20
