Id,site,date,pixels,meanBare,stdevBare,meanGreen,stdevGreen,meanDead,stdevDead
1,WITCHEX1,198712198802,171,81.73,3.51,0.56,0.50,16.23,3.56
2,WITCHEX2,198712198802,175,83.33,4.34,0.65,0.48,14.65,4.39
3,WITCHEX3,198712198802,180,85.55,2.42,0.89,0.31,12.34,2.46
4,WITCHCON1,198712198802,174,78.12,3.33,0.14,0.34,20.01,3.32
5,WITCHCON2,198712198802,179,80.49,3.70,0.67,0.47,17.41,3.65
6,WITCHCON3,198712198802,178,83.37,2.67,0.58,0.49,14.56,2.63
1,WITCHEX1,198803198805,171,74.97,3.79,0.34,0.47,23.14,3.77
2,WITCHEX2,198803198805,175,80.03,6.77,0.37,0.48,18.06,6.87
3,WITCHEX3,198803198805,180,83.78,3.88,0.52,0.50,14.21,3.92
4,WITCHCON1,198803198805,174,71.28,4.65,0.05,0.22,27.15,4.58
5,WITCHCON2,198803198805,179,74.07,5.72,0.51,0.64,23.88,5.52
6,WITCHCON3,198803198805,178,80.53,3.02,0.13,0.34,17.57,2.94
1,WITCHEX1,198806198808,171,55.18,6.48,7.21,4.07,36.19,7.00
2,WITCHEX2,198806198808,175,58.82,10.08,3.45,3.02,36.17,8.21
3,WITCHEX3,198806198808,180,68.18,9.48,2.53,3.26,27.83,6.91
4,WITCHCON1,198806198808,174,47.22,6.92,2.45,1.69,48.81,6.76
5,WITCHCON2,198806198808,179,55.58,8.08,8.33,5.38,34.59,5.50
6,WITCHCON3,198806198808,178,65.78,5.52,2.21,1.72,30.57,4.33
1,WITCHEX1,198809198811,171,73.14,3.49,0.92,0.27,24.66,3.61
2,WITCHEX2,198809198811,175,75.90,4.18,0.95,0.25,21.95,4.15
3,WITCHEX3,198809198811,180,78.70,3.27,0.96,0.21,19.21,3.24
4,WITCHCON1,198809198811,174,68.63,3.58,0.59,0.49,29.32,3.55
5,WITCHCON2,198809198811,179,72.08,5.01,1.11,0.56,25.39,4.70
6,WITCHCON3,198809198811,178,78.16,2.72,0.95,0.22,19.72,2.67
1,WITCHEX1,198812198902,171,73.36,3.87,1.71,1.14,23.47,4.00
2,WITCHEX2,198812198902,175,73.54,5.43,2.73,2.50,22.32,3.90
3,WITCHEX3,198812198902,180,79.46,3.42,1.09,0.35,18.14,3.20
4,WITCHCON1,198812198902,174,70.67,3.96,0.75,0.48,27.18,3.89
5,WITCHCON2,198812198902,179,71.57,5.15,2.87,2.11,24.12,4.00
6,WITCHCON3,198812198902,178,79.88,2.72,1.11,0.51,17.66,2.55
1,WITCHEX1,198903198905,171,64.86,5.63,7.80,6.27,25.86,6.41
2,WITCHEX2,198903198905,175,50.60,11.59,11.79,6.36,36.07,8.95
3,WITCHEX3,198903198905,180,65.56,12.35,8.26,7.45,24.76,6.40
4,WITCHCON1,198903198905,174,54.91,7.81,3.60,2.47,40.02,7.68
5,WITCHCON2,198903198905,179,57.93,9.76,12.39,6.86,28.15,6.28
6,WITCHCON3,198903198905,178,67.21,5.59,8.91,5.50,22.51,3.90
1,WITCHEX1,198906198908,171,48.02,5.64,23.56,5.83,27.02,6.64
2,WITCHEX2,198906198908,175,21.38,5.78,31.31,3.94,45.83,6.25
3,WITCHEX3,198906198908,180,30.92,13.79,28.70,6.02,38.92,9.97
4,WITCHCON1,198906198908,174,40.74,5.91,17.50,6.00,40.28,9.48
5,WITCHCON2,198906198908,179,46.77,8.87,21.74,6.35,29.96,6.37
6,WITCHCON3,198906198908,178,50.20,8.78,23.76,6.50,24.57,5.23
1,WITCHEX1,198909198911,171,59.71,5.60,5.11,2.06,33.66,5.58
2,WITCHEX2,198909198911,175,38.38,4.92,5.73,1.90,54.53,5.43
3,WITCHEX3,198909198911,180,49.83,10.72,5.76,2.22,42.86,9.79
4,WITCHCON1,198909198911,174,54.44,6.10,2.83,1.41,41.21,6.13
5,WITCHCON2,198909198911,179,59.99,8.24,5.00,2.18,33.55,6.97
6,WITCHCON3,198909198911,178,63.89,7.31,5.34,2.89,29.23,5.04
1,WITCHEX1,198912199002,171,63.63,4.98,6.13,2.77,28.74,4.85
2,WITCHEX2,198912199002,175,47.61,4.75,9.49,3.47,41.40,4.25
3,WITCHEX3,198912199002,180,54.83,7.86,8.26,4.32,35.43,5.41
4,WITCHCON1,198912199002,174,58.34,5.39,3.96,2.17,36.14,5.68
