ID,Landform,PV_mean,PV_stdev,PV_min,PV_max,NPV_mean,NPV_stdev,NPV_min,NPV_max,Bare_mean,Bare_stdev,Bare_min,Bare_max
1,1,0.3429,1.1325,0.0000,8.0000,34.5643,5.7980,23.0000,53.0000,64.0857,6.2581,39.0000,76.0000
2,1,3.6693,3.9566,0.0000,26.0000,7.0472,7.2881,0.0000,31.0000,87.9291,7.8291,54.0000,98.0000
3,1,5.4610,2.5558,0.0000,15.0000,16.1986,4.8601,5.0000,32.0000,76.8936,4.4970,64.0000,90.0000
4,1,4.6615,3.9799,0.0000,33.0000,10.5462,7.6451,0.0000,39.0000,83.4231,7.8953,47.0000,96.0000
5,1,2.8794,2.2423,0.0000,7.0000,21.5177,9.3737,4.0000,45.0000,74.1702,8.0881,52.0000,89.0000
6,1,1.2411,1.5796,0.0000,6.0000,18.3262,3.3188,9.0000,27.0000,79.2837,3.3609,72.0000,89.0000
7,1,4.1136,2.6333,0.0000,12.0000,25.4773,5.3590,11.0000,46.0000,68.9318,4.9836,50.0000,83.0000
8,1,7.4184,6.1830,0.0000,34.0000,37.8440,7.7361,22.0000,63.0000,53.3333,9.3389,24.0000,73.0000
9,1,4.1702,2.5515,0.0000,14.0000,13.4255,5.4451,2.0000,28.0000,81.0284,5.1570,64.0000,92.0000
10,1,3.2057,3.5038,0.0000,19.0000,31.1064,7.8449,11.0000,51.0000,64.3121,8.7334,42.0000,85.0000
11,1,4.2695,3.5227,0.0000,20.0000,15.2411,7.4984,0.0000,35.0000,79.1348,8.3541,57.0000,97.0000
12,1,3.0851,2.3262,0.0000,8.0000,14.5816,8.6878,1.0000,48.0000,81.0284,7.4290,51.0000,95.0000
13,1,1.0219,1.8142,0.0000,11.0000,31.8175,5.3929,21.0000,49.0000,66.1241,5.8039,43.0000,78.0000
14,1,4.3071,3.4349,0.0000,18.0000,39.1571,6.1450,25.0000,58.0000,54.9714,6.3885,36.0000,69.0000
15,1,3.6879,3.8906,0.0000,30.0000,22.5319,8.6701,3.0000,46.0000,72.4752,10.0929,37.0000,92.0000
16,1,3.6475,4.6887,0.0000,36.0000,21.6763,8.0584,4.0000,44.0000,73.3957,9.7491,31.0000,91.0000
17,1,2.8516,2.7474,0.0000,10.0000,7.6562,6.5758,0.0000,37.0000,88.4219,7.4578,62.0000,100.0000
18,1,0.2835,1.1217,0.0000,9.0000,34.1732,5.2931,22.0000,51.0000,64.5827,5.7609,39.0000,77.0000
19,1,6.0213,3.3208,0.0000,19.0000,26.4894,6.8651,10.0000,49.0000,65.8652,6.6676,47.0000,83.0000
20,1,0.6099,1.6363,0.0000,14.0000,45.3475,6.6886,29.0000,64.0000,52.9007,6.5507,34.0000,67.0000
21,1,1.4468,2.2673,0.0000,17.0000,28.0213,5.6348,13.0000,39.0000,69.2908,5.9853,55.0000,86.0000
22,1,4.0896,2.9077,0.0000,17.0000,28.0373,6.3556,14.0000,45.0000,66.3881,6.4990,51.0000,81.0000
23,1,1.5547,3.5820,0.0000,32.0000,29.1168,6.5781,13.0000,48.0000,68.2190,7.2984,47.0000,86.0000
24,1,1.5333,2.3876,0.0000,19.0000,37.8074,10.3190,14.0000,59.0000,59.4000,10.8288,29.0000,82.0000
25,1,4.7234,4.5680,0.0000,29.0000,29.0638,8.6878,5.0000,54.0000,64.8298,9.8564,38.0000,90.0000
26,1,0.0500,0.5116,0.0000,6.0000,45.1929,3.9386,35.0000,56.0000,53.7143,4.0923,39.0000,64.0000
27,1,2.6241,2.9428,0.0000,17.0000,35.5816,4.6527,23.0000,49.0000,60.5532,5.2029,48.0000,76.0000
28,1,4.4651,4.5068,0.0000,27.0000,29.1085,8.6079,4.0000,50.0000,65.1085,9.7482,40.0000,90.0000
29,1,3.7279,4.5608,0.0000,21.0000,24.9044,7.4969,6.0000,41.0000,70.0662,8.9247,48.0000,90.0000
30,1,4.4167,5.4287,0.0000,27.0000,32.6364,9.9790,8.0000,61.0000,61.7197,10.0350,34.0000,86.0000
31,1,5.0922,3.0963,0.0000,19.0000,17.1418,6.8080,1.0000,35.0000,76.3191,7.5478,46.0000,94.0000
32,1,5.1077,4.2900,0.0000,20.0000,27.0846,11.4435,0.0000,52.0000,66.4846,13.1840,35.0000,97.0000
33,1,7.4889,5.2378,0.0000,39.0000,31.7259,8.6705,11.0000,55.0000,59.1333,10.9238,18.0000,79.0000
34,1,5.1223,3.1036,0.0000,18.0000,24.1655,8.4671,6.0000,51.0000,69.2806,8.4615,40.0000,86.0000
35,1,4.0752,3.1590,0.0000,21.0000,34.1353,8.5416,13.0000,56.0000,60.2180,7.7181,37.0000,80.0000
36,1,4.9690,3.3916,0.0000,18.0000,16.8837,7.0630,0.0000,35.0000,76.7287,7.7827,55.0000,95.0000
37,1,5.3488,4.6849,0.0000,31.0000,30.8760,8.8773,13.0000,57.0000,62.3101,10.6274,27.0000,84.0000
38,1,1.7424,2.2617,0.0000,9.0000,26.6439,8.1409,8.0000,51.0000,70.4091,8.3084,39.0000,88.0000
39,1,0.4965,1.5873,0.0000,14.0000,40.1560,6.1440,24.0000,52.0000,58.3050,6.0165,46.0000,74.0000
40,1,4.4351,2.4498,0.0000,11.0000,21.2214,4.7266,10.0000,36.0000,72.9618,4.2290,57.0000,84.0000
41,1,3.6154,3.3036,0.0000,13.0000,15.3154,5.9640,1.0000,27.0000,79.7769,7.5368,65.0000,97.0000
42,1,5.1135,3.3688,0.0000,20.0000,23.7943,6.4824,7.0000,39.0000,69.8085,6.8447,54.0000,86.0000
43,1,6.0889,3.9204,0.0000,27.0000,24.6519,7.8621,7.0000,43.0000,67.7259,8.5690,42.0000,86.0000
44,1,1.4468,1.7682,0.0000,11.0000,24.2411,6.1389,9.0000,44.0000,73.0426,5.8551,53.0000,88.0000
45,1,5.8947,4.6892,0.0000,30.0000,27.0902,7.9002,6.0000,44.0000,65.4286,8.6000,39.0000,86.0000
46,1,1.7305,2.0830,0.0000,11.0000,52.1135,7.6391,35.0000,70.0000,44.8369,7.2724,30.0000,62.0000
47,1,6.0214,3.8293,0.0000,25.0000,22.2571,6.8341,5.0000,37.0000,70.1857,6.6736,51.0000,89.0000
48,1,0.5496,1.1865,0.0000,7.0000,29.9160,7.5220,15.0000,52.0000,68.4962,7.8850,45.0000,84.0000
49,1,3.5887,4.6890,0.0000,28.0000,23.4610,8.2681,4.0000,46.0000,71.7376,10.0210,40.0000,95.0000
50,1,0.2263,0.9889,0.0000,10.0000,36.8540,6.2660,22.0000,50.0000,61.8102,6.2333,49.0000,77.0000
51,1,5.2340,3.5881,0.0000,29.0000,25.3617,7.1233,8.0000,43.0000,67.9291,7.6942,37.0000,85.0000
52,1,6.1556,8.7397,0.0000,47.0000,25.3778,9.9725,6.0000,52.0000,67.3259,13.5668,39.0000,93.0000
53,1,6.6738,4.6775,0.0000,24.0000,23.2269,7.2644,8.0000,39.0000,68.6312,8.0903,48.0000,85.0000
54,1,2.8462,3.3293,0.0000,20.0000,26.2154,8.2322,5.0000,47.0000,69.7308,9.3494,41.0000,93.0000
55,1,6.0310,3.5348,0.0000,17.0000,21.3333,9.2647,1.0000,41.0000,71.1705,9.0717,51.0000,92.0000
56,1,0.6312,1.8619,0.0000,18.0000,38.0284,4.5507,23.0000,49.0000,60.1986,4.8190,46.0000,74.0000
57,1,0.3308,1.5352,0.0000,15.0000,34.1203,5.3312,22.0000,51.0000,64.5564,5.6294,48.0000,77.0000
58,1,3.1111,2.3510,0.0000,12.0000,16.3571,6.3776,3.0000,36.0000,79.1587,5.5869,63.0000,93.0000
59,1,4.6250,3.7396,0.0000,25.0000,33.6985,8.9560,12.0000,56.0000,60.1838,9.7114,33.0000,82.0000
60,1,5.8855,4.9926,0.0000,29.0000,30.8168,8.5684,12.0000,51.0000,61.8397,9.3978,35.0000,85.0000
61,1,6.5758,5.2167,0.0000,25.0000,31.0530,9.0531,8.0000,51.0000,60.8636,10.2320,39.0000,86.0000
62,1,3.8014,3.5315,0.0000,25.0000,25.5390,8.6143,6.0000,48.0000,69.2766,9.2031,40.0000,89.0000
63,1,1.1277,1.7004,0.0000,8.0000,25.0780,5.1819,12.0000,36.0000,72.6241,5.0858,61.0000,86.0000
64,1,0.1846,1.3632,0.0000,15.0000,31.1385,4.5264,21.0000,45.0000,67.7385,4.9077,50.0000,78.0000
65,1,4.0580,2.8355,0.0000,14.0000,16.6014,5.1295,4.0000,27.0000,77.9855,5.8035,63.0000,92.0000
66,1,2.0213,3.5138,0.0000,30.0000,30.1418,7.4563,10.0000,51.0000,66.6241,9.0213,28.0000,89.0000
67,1,1.4338,3.1569,0.0000,25.0000,19.1324,8.6030,2.0000,42.0000,78.3088,9.3655,51.0000,98.0000
68,1,3.7163,3.5736,0.0000,15.0000,30.0355,6.4130,15.0000,45.0000,64.8723,7.6704,48.0000,84.0000
69,1,9.2979,8.8988,0.0000,46.0000,42.5745,8.7480,24.0000,69.0000,46.7447,12.4840,11.0000,72.0000
70,1,1.8014,2.4960,0.0000,15.0000,27.0355,4.7182,16.0000,38.0000,69.8652,4.5945,60.0000,81.0000
71,1,0.6031,2.3171,0.0000,22.0000,34.8092,4.9380,24.0000,52.0000,63.6183,5.7790,43.0000,75.0000
72,1,4.8485,4.6212,0.0000,28.0000,25.7197,8.2841,4.0000,52.0000,67.9848,9.2883,33.0000,88.0000
73,1,4.4184,2.4816,0.0000,10.0000,15.6738,6.5434,0.0000,30.0000,78.5816,6.2139,65.0000,92.0000
74,1,1.8071,3.1823,0.0000,23.0000,26.8786,6.3645,13.0000,43.0000,70.1000,7.7056,45.0000,84.0000
75,1,6.6028,5.3725,0.0000,30.0000,31.2411,12.2451,4.0000,68.0000,60.5745,14.4489,16.0000,90.0000
76,1,5.3969,3.6606,0.0000,21.0000,24.2901,6.7116,6.0000,49.0000,68.8168,6.9170,47.0000,84.0000
77,1,4.4656,3.7218,0.0000,26.0000,26.7863,7.3058,5.0000,43.0000,67.2595,7.9431,39.0000,90.0000
78,1,3.6978,2.8730,0.0000,16.0000,17.3237,5.9859,1.0000,31.0000,77.5899,5.9709,61.0000,91.0000
79,1,3.4077,2.4359,0.0000,11.0000,36.7923,6.7877,23.0000,53.0000,58.3769,6.3310,43.0000,72.0000
80,1,6.0284,4.2576,0.0000,29.0000,24.6099,9.5433,0.0000,47.0000,67.8014,10.5858,36.0000,92.0000
81,1,5.9433,3.6704,0.0000,21.0000,23.2128,9.2129,2.0000,47.0000,69.4326,9.8228,46.0000,91.0000
82,1,3.0154,2.5839,0.0000,14.0000,22.1154,5.0682,11.0000,34.0000,73.5231,4.6678,62.0000,85.0000
83,1,0.7721,2.1177,0.0000,11.0000,36.6691,6.9716,22.0000,55.0000,61.3750,7.6571,36.0000,77.0000
84,1,5.5106,4.5031,0.0000,31.0000,30.4113,8.9910,12.0000,57.0000,62.5887,10.1255,27.0000,83.0000
85,1,5.2270,2.7966,0.0000,14.0000,17.1418,6.8246,2.0000,31.0000,76.0922,6.8364,62.0000,90.0000
86,1,5.5887,4.2943,0.0000,18.0000,35.7730,9.0030,14.0000,59.0000,57.0638,9.7749,34.0000,80.0000
87,1,4.9433,5.0540,0.0000,31.0000,27.3262,10.7707,3.0000,49.0000,66.3901,12.5680,31.0000,89.0000
88,1,6.6525,4.5084,0.0000,22.0000,37.2908,6.9838,20.0000,56.0000,54.4610,7.5892,37.0000,72.0000
89,1,5.6977,5.0172,0.0000,23.0000,20.4496,10.0124,0.0000,42.0000,72.5194,11.9353,45.0000,96.0000
90,1,3.7872,3.5447,0.0000,17.0000,24.1206,9.3403,2.0000,50.0000,70.7518,9.8219,38.0000,93.0000
91,1,5.4015,4.1667,0.0000,19.0000,18.2121,10.2440,0.0000,41.0000,75.0758,12.1721,48.0000,96.0000
92,1,2.6950,3.4681,0.0000,22.0000,33.5390,7.5696,15.0000,52.0000,62.3759,8.5565,41.0000,82.0000
